,name,address,price,rating,amenities
0,OYO 10363 Sri Balaji Guest House & Restaurent,"Near Bata, Wilson Garden, Bangalore",₹1013,(321 Ratings),"Doctor on Call, Reception, Ticket Tour Assistance"
1,SPOT ON 41554 Hotel Sri Thirumala Paradise,"Near TCM Royan Road, Sevashrama, Bangalore",₹657,(2012 Ratings),"AC, Power backup, CCTV Cameras"
2,OYO Townhouse 149 Siri Residency Hebbal,"India, Bangalore",₹1366,(173 Ratings),"Doctor on Call, Reception, Ticket Tour Assistance"
3,OYO 78266 Collection O Sathyajyothi Comforts,"Girinagar, Bangalore",₹1170,(262 Ratings),"Reception, Free Wifi, Power backup"
4,OYO 78474 Usuru Comforts,"Bangalore - 560022, Bangalore",₹1762,(191 Ratings),"Reception, Ticket Tour Assistance, Security"
5,Capital O 49646 Hotel Champion Paradise,"Near V.E.T School, J.P. Nagar, Bangalore",₹1101,(1006 Ratings),"Parking Facility, Reception, Free Wifi"
6,OYO 3974 Hotel Bcp Royal Residency,"Near Race Course, 6th A Cross, Bangalore",₹1216,(1150 Ratings),"Parking Facility, Free Wifi, Power backup"
7,OYO 78918 Leva Homes,"Mahadevapura Zone, Bangalore",₹999,(277 Ratings),"Elevator, Private Entrance, Free Wifi"
8,OYO 77537 S A Comforts ,"R.T. Nagar, Bangalore",₹1537,(22 Ratings),"Reception, Free Wifi, Caretaker"
9,OYO 765 Hotel Sunil Residency,"West Of Chord Road, Shivajinagar, Bangalore",₹2023,(709 Ratings),"AC, TV"
10,Capital O 73831 Spades Inn,"Near koramangala club, Maistripalaya, Bangalore",₹898,(1091 Ratings),"Parking Facility, Free Wifi, Power backup"
11,OYO 10821 Sree Balaji Residency,"Agrahara Dasarahalli, Rajaji Nagar, Bangalore",₹1373,(687 Ratings),"Elevator, Free Wifi, Geyser"
12,Collection O 74285 Grand Continent Indira Nagar ,"Near Metro Station, Indira Nagar, Bangalore",₹1545,(608 Ratings),"Private Entrance, Reception, Free Wifi"
13,OYO 76298 Prime Suites,"Near Hatti Kappi, Yellappa Garden, Bangalore",₹1642,(319 Ratings),"Free Wifi, Power backup, Card Payment"
14,OYO 3664 Hotel Shivaal's Residency,"Rajajinagar, Bangalore",₹1494,(449 Ratings),"Parking Facility, Free Wifi, Power backup"
15,OYO 2561 Hotel Resida Service Apartments,"Near Domlur Bridge, Indiranagar, Bangalore",₹1429,(537 Ratings),"Parking Facility, Free Wifi, Power backup"
16,OYO 8501 Abhimaani Comforts,Kanakpura main road metro pillar number 45 nearby Banashankari metro station JP Nagar,₹1716,(927 Ratings),"Parking Facility, Elevator, Free Wifi"
17,OYO 72492 A K Residency,"Near S T Bed, Koramangala 1st Block, Bangalore",₹1327,,"Reception, AC, Daily Housekeeping"
18,Capital O 715 Royal Shades,"Near Manipal Hospital, Kodihalli, Bangalore",₹1646,(517 Ratings),AC
19,OYO 45125 Banashankari Comforts,"Near CBI Office, Ganganagar, Bangalore",₹1563,(215 Ratings),"Power backup, 24/7 Checkin, AC"
20,OYO 12083 Hotel Champion Inn,"Near Chandan Bar, Mathikere, Bangalore",₹1142,(710 Ratings),AC
21,Capital O 38666 Elmas Golden Key,"Near PVR Koramangala, 7th Block, Bangalore",₹1598,(715 Ratings),"Private Entrance, Reception, Free Wifi"
22,OYO 13941 NR Suites,"Near Central Silk board, BTM Layout, Bangalore",₹1107,,"Hair Dryer, Free Wifi, Power backup"
23,OYO 10379 Hotel Varcity Sapphire,"Near TVS - Prakruthi Mobikes, Ganga Nagar, Bangalore",₹1216,(344 Ratings),"Parking Facility, Elevator, Free Wifi"
24,OYO 27839 Manyata Residency,"Near HKBK College, Manyata Tech Park, Bangalore",₹2059,,"Reception, Daily Housekeeping, AC"
25,OYO 6825 New Crescent Citadel,"Near Kemp Fort Mall, Murugeshpalya, Bangalore",₹1241,(393 Ratings),"AC, Queen Sized Bed"
26,OYO 60746 Kings Suites,"Near Banaswadi Police Station, Hrbr Layout, Bangalore",₹1766,(345 Ratings),"AC, AC, TV"
27,Capital O 28398 Mysore Gate,"Near Nalanda Theater, Mysore Road, Bangalore",₹1130,(527 Ratings),"Reception, Security, 24/7 Checkin"
28,Capital O 70991 Prime Square,"Near Kalyan Nagar Bus Stand, 1st stage, Bangalore",₹1327,(1024 Ratings),"Free Wifi, Power backup, Card Payment"
29,OYO BLR2467 Urban Inn,"India, Bangalore",₹1214,(517 Ratings),"Hair Dryer, Reception, Security"
30,OYO 62331 GN Collection O,"Near A D Halli Park, Housing Board, Bangalore",₹1491,(2300 Ratings),"Reception, Free Wifi, Power backup"
31,OYO Townhouse 238 Ulssor,"Halasuru, Bangalore",₹2774,(715 Ratings),"Doctor on Call, Reception, Public Washroom"
32,Capital O 70534 Habitat Suites And Rooms ,"Near Yeshwantpur Station, Bangalore",₹1122,(357 Ratings),"Free Wifi, Power backup, AC"
33,Capital O 333 Hotel Crystal Homes,"Near Sony Centre, Indiranagar, Bangalore",₹1315,(909 Ratings),"Elevator, Free Wifi, Power backup"
34,OYO 28067 Shree Comforts,"Near RNS motors, Bannerghatta Road, Bangalore",₹2059,(974 Ratings),"Reception, Free Wifi, Power backup"
35,SPOT ON 77859 eighteen Th Guest House,"India, Bangalore",₹901,,"TV, Reception, Ticket Tour Assistance"
36,OYO Townhouse 076 Hebbal,"Dasarahalli, Bangalore",₹2099,(539 Ratings),"Private Entrance, Doctor on Call, Parking Facility"
37,Capital O 67657 GN Suites,"Near Sub Registrar Office, Banaswadi, Bangalore",₹1111,(50 Ratings),"Reception, Power backup, 24/7 Checkin"
38,OYO 17327 The Rove,"Near Bus tsop, Gururaja Layout, Bangalore",₹1534,(634 Ratings),"Parking Facility, Reception, Free Wifi"
39,Capital O 11092 Shiv Enclave,"Near Nagavara, Ashwath Nagar, Bangalore",₹1388,(239 Ratings),"TV, AC, Wheelchair Accessible"
40,OYO 22836 Hotel Amster Inn,"Near Mysore RD. Metro Station, FCI Layout, Bangalore",₹1801,(419 Ratings),"Private Entrance, Reception, Card Payment"
41,Collection O S-Comfort,"Kumaraswamy layout, Bangalore",₹1880,(52 Ratings),"Private Entrance, Reception, Free Wifi"
